Model,MDO3014
Firmware Version,1.22

Waveform Type,ANALOG,
Point Format,Y,
Horizontal Units,s,
Horizontal Scale,1e-07,
Horizontal Delay,1.816e-05,
Sample Interval,4e-10,
Record Length,100000,
Gating,0.0% to 100.0%,
Probe Attenuation,1,250
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,5,50
Vertical Position,0,0
,,
,,
,,
Label,,
TIME,CH2,CH3
-1.527200e-06,0,0
-1.526800e-06,0,0
-1.526400e-06,0,0
-1.526000e-06,0.2,-2
-1.525600e-06,0,-2
-1.525200e-06,0,-2
-1.524800e-06,0,0
-1.524400e-06,0,0
-1.524000e-06,0,-2
-1.523600e-06,0,0
-1.523200e-06,0,-2
-1.522800e-06,0,0
-1.522400e-06,0,-2
-1.522000e-06,0,-2
-1.521600e-06,0,0
-1.521200e-06,0,0
-1.520800e-06,0,0
-1.520400e-06,0,-2
-1.520000e-06,0.2,0
-1.519600e-06,0,-2
-1.519200e-06,0,0
-1.518800e-06,0,-2
-1.518400e-06,0,0
-1.518000e-06,0,0
-1.517600e-06,0,0
-1.517200e-06,0,-2
-1.516800e-06,0,-2
-1.516400e-06,-0.2,0
-1.516000e-06,0,-2
-1.515600e-06,0,0
-1.515200e-06,0,0
-1.514800e-06,-0.2,0
-1.514400e-06,0,0
-1.514000e-06,0,0
-1.513600e-06,0,0
-1.513200e-06,0,0
-1.512800e-06,0,-2
-1.512400e-06,0,0
-1.512000e-06,0,0
-1.511600e-06,0,-2
-1.511200e-06,0,0
-1.510800e-06,0,-2
-1.510400e-06,0,0
-1.510000e-06,0,-2
-1.509600e-06,0,0
-1.509200e-06,0,0
-1.508800e-06,0,-2
-1.508400e-06,0,0
-1.508000e-06,0,0
-1.507600e-06,0,-2
-1.507200e-06,0,-2
-1.506800e-06,0,-2
-1.506400e-06,0,-2
-1.506000e-06,0,0
-1.505600e-06,-0.2,0
-1.505200e-06,0,0
-1.504800e-06,0,0
-1.504400e-06,0,0
-1.504000e-06,0,-2
-1.503600e-06,0,0
